timestamp_sec,x_dva,y_dva,pupil_diameter_mm,stimulus_x_deg,stimulus_y_deg,luminance,fixation_id
0.00136,2.174788975195645,-3.1724590534985206,3.4039073093,0.0,0.0,dark,0.0
0.0098588,2.0665554971358584,-3.1950884773426282,3.3836352981,0.0,0.0,dark,0.0
0.0179807,2.1828885042174697,-3.166415636051713,3.4012019091,0.0,0.0,dark,0.0
0.026406,2.1103036381332068,-3.2241294390785176,3.3958177373,0.0,0.0,dark,0.0
0.0348572,2.157540911060375,-3.096987902808135,3.4082906415,0.0,0.0,dark,0.0
0.0429778,2.1529752714573456,-3.095601854177421,3.4054429631,0.0,0.0,dark,0.0
0.0514106,2.0933143245849126,-3.1449728743768093,3.4059026464,0.0,0.0,dark,0.0
0.059832,2.0964605005163146,-3.1302233302756357,3.384899342,0.0,0.0,dark,0.0
0.0680169,2.1139793409191423,-3.1717349549558165,3.4020802335,0.0,0.0,dark,0.0
0.0763531,2.061210766987254,-3.0954792953894747,3.3987445778,0.0,0.0,dark,0.0
0.0848672,2.1678268408655423,-3.1037491262698778,3.3866744412,0.0,0.0,dark,0.0
0.0929788,2.1197003692583207,-3.111447268739275,3.415088912,0.0,0.0,dark,0.0
0.1013563,2.2020038801584576,-3.1535540767917465,3.4062835403,0.0,0.0,dark,0.0
0.109859,2.1014579042009083,-3.0757293661170633,3.4145101143,0.0,0.0,dark,0.0
0.1179954,2.129137484410275,-3.1442397768793757,3.3934988761,0.0,0.0,dark,0.0
0.1263518,2.1560190486503616,-3.197777053608385,3.4002817459,0.0,0.0,dark,0.0
0.134824,2.1625975507387154,-3.096621921770259,3.4196642114,0.0,0.0,dark,0.0
0.1429982,2.192249106099775,-3.155042434743534,3.4193129552,0.0,0.0,dark,0.0
0.1514116,2.2562653749703276,-3.1274614140160164,3.4115577785,0.0,0.0,dark,0.0
0.1598117,2.2261194014332095,-3.182930966722499,3.4173803051,0.0,0.0,dark,0.0
0.1679804,2.2716939247596093,-3.1953578002419127,3.3920436201,0.0,0.0,dark,0.0
0.1763506,2.333983250933927,-3.1792077355049986,3.4127358754,0.0,0.0,dark,0.0
0.1848353,2.3060182943743484,-3.1148883416563624,3.4143425791,0.0,0.0,dark,0.0
0.1929751,2.270401439234167,-3.197398498665814,3.4137193036,0.0,0.0,dark,0.0
0.2013569,2.2526742371017217,-3.1685881438623342,3.4172789928,0.0,0.0,dark,0.0
0.2098321,2.3222709528641086,-3.1689125386355363,3.4340986565,0.0,0.0,dark,0.0
0.2179751,2.3327367393907306,-3.3074787387643934,3.4243680718,0.0,0.0,dark,0.0
0.2263518,2.346983684394617,-3.2092602783949262,3.4059311997,0.0,0.0,dark,0.0
0.2348563,2.4415382214256502,-3.1818919627167954,3.4533630552,0.0,0.0,dark,0.0
0.2429814,2.3920631015810305,-3.198779414313071,3.4513263226,0.0,0.0,dark,0.0
0.2514315,2.3460812418213055,-3.2358269729141047,3.4600988064,0.0,0.0,dark,0.0
0.259817,2.3950111516406514,-3.181223357836798,3.4634713918,0.0,0.0,dark,0.0
0.2679781,2.47256621900393,-3.169175953656007,3.4560377691,0.0,0.0,dark,0.0
0.2763586,2.2204644396157818,-3.1403498742512816,3.4627043059,0.0,0.0,dark,0.0
0.2848382,2.3538863203104965,-3.2531500272659404,3.450328509,0.0,0.0,dark,0.0
0.2929816,2.4395331516851875,-3.198070586900178,3.4684490801,0.0,0.0,dark,0.0
0.3013521,2.2360159224871534,-3.283512258634633,3.4461735706,0.0,0.0,dark,0.0
0.309846,2.360210277969151,-3.281470265230853,3.5017756506,0.0,0.0,dark,0.0
0.3179806,2.279341092545423,-3.276046138858009,3.4959670926,0.0,0.0,dark,0.0
0.3263536,2.406490020582713,-3.261757248535508,3.4829937723,0.0,0.0,dark,0.0
0.3348566,2.3938284129163616,-3.2497712007580386,3.5284359004,0.0,0.0,dark,0.0
0.3429818,2.334537562860378,-3.267470384360703,3.5178735249,0.0,0.0,dark,0.0
0.351407,2.418874234147567,-3.3298336584286665,3.5185039061,0.0,0.0,dark,0.0
0.3598313,2.3568827272515978,-3.220456293006031,3.5173502641,0.0,0.0,dark,0.0
0.3679759,2.378652147927061,-3.2557851349452043,3.54581274,0.0,0.0,dark,0.0
0.3763747,2.3739646445421236,-3.255908245747298,3.5592604288,0.0,0.0,dark,0.0
0.3848367,2.3402013589678607,-3.211602173935235,3.5389742951,0.0,0.0,dark,0.0
0.3929785,2.353673295921752,-3.1016718143534163,3.5662144652,0.0,0.0,dark,0.0
0.4013594,2.3574860586072948,-3.2904108084424264,3.5872774795,0.0,0.0,dark,0.0
0.4098467,2.3911159535984576,-3.293901361657408,3.5664464547,0.0,0.0,dark,0.0
0.4179818,2.355949426618441,-3.189082576234345,3.5860102214,0.0,0.0,dark,0.0
0.4264528,2.274370167603504,-3.1819303647221044,3.6136538692,0.0,0.0,dark,0.0
0.4348594,2.3386220229645294,-3.1249705015420646,3.6070794785,0.0,0.0,dark,0.0
0.4429769,2.3507576257817715,-3.1990004769032447,3.5735096714,0.0,0.0,dark,0.0
0.4514073,2.2989353421229066,-3.176136032864484,3.6006054115,0.0,0.0,dark,0.0
0.4598083,2.3294470004178147,-3.152285642059866,3.5895615253,0.0,0.0,dark,0.0
0.4679788,2.26963924356146,-3.2094022583361608,3.5845021616,0.0,0.0,dark,0.0
0.4763507,2.2545243630787484,-3.1839100295376905,3.582252295,0.0,0.0,dark,0.0
0.4848356,2.25183611483072,-3.0760425111930196,3.5867750984,0.0,0.0,dark,0.0
0.4929991,2.3056335348069075,-3.17287828215946,3.5887599269,0.0,0.0,dark,0.0
0.5016344,2.2573907616502225,-3.165869247371807,3.5971774748,0.0,0.0,dark,0.0
0.5098239,2.302178753519003,-3.282469181560601,3.6043833617,0.0,0.0,dark,0.0
0.5179809,2.292797630972437,-3.224049126361616,3.6050192712,0.0,0.0,dark,0.0
0.5263841,2.3124424106714576,-3.1812922684079643,3.5956617616,0.0,0.0,dark,0.0
0.5348132,2.2822553804477916,-3.1652652897899745,3.5925812419,0.0,0.0,dark,0.0
0.54298,2.289784473814025,-3.2131377849415763,3.5961794266,0.0,0.0,dark,0.0
0.5514069,2.270032072241262,-3.2054037522090804,3.6097904472,0.0,0.0,dark,0.0
0.5598067,2.290038940735974,-3.2445587403559104,3.5762024147,0.0,0.0,dark,0.0
0.5679878,2.3118532495656545,-3.2070883034337654,3.5873544262,0.0,0.0,dark,0.0
0.5763561,2.3362176125444014,-3.115292020878555,3.6184685927,0.0,0.0,dark,0.0
0.5848327,2.3664267230834453,-3.1739097041191324,3.5615776642,0.0,0.0,dark,0.0
0.5929778,2.2965151444115275,-3.1512234268411197,3.551430237,0.0,0.0,dark,0.0
0.601354,2.3157541771440036,-3.080586517434126,3.5448115867,0.0,0.0,dark,0.0
0.6098223,2.320297581670833,-3.1558523750077447,3.577888655,0.0,0.0,dark,0.0
0.6179979,2.3260853574299247,-3.097703973152163,3.5356142696,0.0,0.0,dark,0.0
0.6263551,2.1945979977910635,-3.252577243455842,3.5537371181,0.0,0.0,dark,0.0
0.6348173,2.3031015981580265,-3.090832299891645,3.5490748447,0.0,0.0,dark,0.0
0.6430839,2.1951843341871964,-3.1703092597410487,3.5364224509,0.0,0.0,dark,0.0
0.6514066,2.1999079050753694,-3.1883765557709003,3.504531988,0.0,0.0,dark,0.0
0.6598104,2.203321250113332,-3.1468556988227654,3.4964977073,0.0,0.0,dark,0.0
0.6679772,2.224644217764042,-3.120828833155289,3.5237185372,0.0,0.0,dark,0.0
0.6763537,2.1617623705000204,-3.171464689252768,3.4845411735,0.0,0.0,dark,0.0
0.6848326,2.180337056082714,-3.107394844986891,3.49314194,0.0,0.0,dark,0.0
0.6929796,2.1683448537243306,-3.119148239311754,3.5078159192,0.0,0.0,dark,0.0
0.7013552,2.129647060030711,-3.1793248170627426,3.5068723982,0.0,0.0,dark,0.0
0.7098199,2.1277919604567757,-3.1088775369396786,3.5189854965,0.0,0.0,dark,0.0
0.7179985,2.162575733495241,-3.169592174466764,3.4971008233,0.0,0.0,dark,0.0
0.7263681,2.2506174392472094,-3.086048479513824,3.4806099705,0.0,0.0,dark,0.0
0.7348195,2.211092931669564,-3.0658155016304462,3.48470124,0.0,0.0,dark,0.0
0.7429799,2.1162475164008248,-3.118569357660238,3.4670749201,0.0,0.0,dark,0.0
0.7514085,2.1423095501345637,-3.128626974220456,3.4898591607,0.0,0.0,dark,0.0
0.7598069,2.161987908304824,-3.1846286950449474,3.5240080629,0.0,0.0,dark,0.0
0.7679843,2.117638747795275,-3.1791449281114157,3.4770153574,0.0,0.0,dark,0.0
0.7763516,2.1690028193858777,-3.1188303641527724,3.4802480894,0.0,0.0,dark,0.0
0.78483,2.1514826484321494,-3.131699174242376,3.5097025072,0.0,0.0,dark,0.0
0.7929752,2.1705517145899056,-3.162610516041414,3.4874048569,0.0,0.0,dark,0.0
0.8013621,2.202114442212356,-3.2511650112636605,3.4954926089,0.0,0.0,dark,0.0
0.8098388,2.174339120810518,-3.1003829964035257,3.5044801257,0.0,0.0,dark,0.0
0.817995,2.300314543830031,-3.1168169417897906,3.4982940983,0.0,0.0,dark,0.0
0.8263515,2.2661702044058156,-3.243867570308679,3.4964725562,0.0,0.0,dark,0.0
0.8348567,2.323680614652654,-3.149218719889083,3.4990622853,0.0,0.0,dark,0.0
0.8429764,2.325741858569557,-3.1025681553550792,3.5353330895,0.0,0.0,dark,0.0
0.8514081,2.201256056221082,-3.1558440452030982,3.5069426205,0.0,0.0,dark,0.0
0.8598144,2.30144970042184,-3.138704896246899,3.506580888,0.0,0.0,dark,0.0
0.8679799,2.2881567023969946,-3.1228502209106703,3.5064816629,0.0,0.0,dark,0.0
0.8763525,2.253767749247801,-3.1094174297436745,3.5187314586,0.0,0.0,dark,0.0
0.8848309,2.331225581682751,-3.1262080395300718,3.5199421629,0.0,0.0,dark,0.0
0.8929762,2.2703907720772087,-3.109750627438688,3.5333108162,0.0,0.0,dark,0.0
0.9013496,2.3413024751790252,-3.1018027432547703,3.5371253793,0.0,0.0,dark,0.0
0.9098218,2.245068752589836,-3.0613570188637778,3.529288964,0.0,0.0,dark,0.0
0.9179978,2.2481769648556815,-3.077446897375975,3.5539994491,0.0,0.0,dark,0.0
0.9263774,2.288435781066348,-3.0545005101784786,3.5428748784,0.0,0.0,dark,0.0
0.9348093,2.309178762073502,-3.1269104361086937,3.5601160921,0.0,0.0,dark,0.0
0.9429786,2.257176310171265,-3.0644113056941964,3.561713785,0.0,0.0,dark,0.0
0.9514125,2.1850278700495274,-3.160924192817684,3.5548136917,0.0,0.0,dark,0.0
0.9598387,2.182359191137896,-3.158266612625427,3.5506953554,0.0,0.0,dark,0.0
0.9679793,2.2046547704861617,-3.074258327906155,3.5613974511,0.0,0.0,dark,0.0
0.9764898,2.2490489754322303,-3.2602863856885778,3.5891245559,0.0,0.0,dark,0.0
0.9848294,2.2130898597214546,-3.2139190518980594,3.5627155107,0.0,0.0,dark,0.0
