timestamp_sec,x_dva,y_dva,pupil_diameter_mm,stimulus_x_deg,stimulus_y_deg,luminance,fixation_id
0.0025892,-1.5781534367429495,-0.8202977415065367,5.2077397377,0.0,0.0,dark,0.0
0.0110818,-1.6399174458748544,-0.7598016626978217,5.2526388099,0.0,0.0,dark,0.0
0.019211,-1.689941960238098,-0.9483001354736983,5.2547834766,0.0,0.0,dark,0.0
0.0275855,-1.7006736306890524,-0.8059320923428677,5.248299622,0.0,0.0,dark,0.0
0.0360513,-1.6666626708516186,-0.7928340108253866,5.2379648402,0.0,0.0,dark,0.0
0.0442098,-1.5152530130281363,-0.7669647727567074,5.2611142434,0.0,0.0,dark,0.0
0.0525887,-1.6029268017777178,-0.8666669583892331,5.2640775969,0.0,0.0,dark,0.0
0.0610453,-1.6549065044191371,-0.8691288731923721,5.2823705219,0.0,0.0,dark,0.0
0.0692124,-1.6274213605478949,-0.7819062475543812,5.2931318968,0.0,0.0,dark,0.0
0.0775939,-1.5028343277886709,-0.7120732851126493,5.2767787024,0.0,0.0,dark,0.0
0.0860382,-1.541741971124191,-0.7600457859136694,5.299635752,0.0,0.0,dark,0.0
0.094208,-1.4386887842473066,-0.9297324218354066,5.3156954504,0.0,0.0,dark,0.0
0.1025869,-1.454510631185747,-0.9169203675964309,5.3144191755,0.0,0.0,dark,0.0
0.1110458,-1.578017438290525,-0.8661175709541519,5.3193460568,0.0,0.0,dark,0.0
0.1192272,-1.5628894522956283,-0.8045278168600427,5.3470529512,0.0,0.0,dark,0.0
0.127588,-1.471352094348699,-0.8221059696689174,5.3444621655,0.0,0.0,dark,0.0
0.1360652,-1.4736095680789258,-0.7761381169038051,5.3086734661,0.0,0.0,dark,0.0
0.1442343,-1.4202673195943059,-0.7687301565124083,5.3187176482,0.0,0.0,dark,0.0
0.1525959,-1.5307945765037532,-0.8265742997911831,5.2847247001,0.0,0.0,dark,0.0
0.1610486,-1.484277560219586,-0.8434811820218,5.3029197125,0.0,0.0,dark,0.0
0.1692094,-1.4514600465514236,-0.8080181386437258,5.3300103968,0.0,0.0,dark,0.0
0.177587,-1.4992837524934706,-0.8633433057170474,5.301954807,0.0,0.0,dark,0.0
0.1860393,-1.4015886086323062,-0.8442346150121149,5.2824477152,0.0,0.0,dark,0.0
0.1942076,-1.411866576077867,-0.7608597624581245,5.2795306958,0.0,0.0,dark,0.0
0.2025727,-1.3719173006193068,-0.6832508314146432,5.2980415896,0.0,0.0,dark,0.0
0.211033,-1.443103591315705,-0.8513944650969454,5.2605746801,0.0,0.0,dark,0.0
0.2192395,-1.2726233140439096,-0.7932654556291447,5.2320418178,0.0,0.0,dark,0.0
0.2275707,-1.4025115555388823,-0.7119706756018341,5.2242445058,0.0,0.0,dark,0.0
0.2361679,-1.4476946698381434,-0.8644733896912214,5.199167739,0.0,0.0,dark,0.0
0.2441961,-1.3973762351999415,-0.8314920777928744,5.2200304704,0.0,0.0,dark,0.0
0.2526123,-1.5040860313429822,-0.7399672285112348,5.1851413774,0.0,0.0,dark,0.0
0.261027,-1.4344886901290224,-0.720499627179297,5.2075948854,0.0,0.0,dark,0.0
0.2691961,-1.4975179597415893,-0.7969818930754351,5.1902105164,0.0,0.0,dark,0.0
0.2775692,-1.196751814149082,-0.6747390527441063,5.1725580345,0.0,0.0,dark,0.0
0.2861214,-1.2152161404234305,-0.6551783038770606,5.1618994196,0.0,0.0,dark,0.0
0.2942166,-1.1680817183426504,-0.7910857907397137,5.1608616558,0.0,0.0,dark,0.0
0.3025715,-1.1081319540442391,-0.7562158779188412,5.1739326341,0.0,0.0,dark,0.0
0.3110987,-1.1938428597883302,-0.8530793751726085,5.1698017912,0.0,0.0,dark,0.0
0.3194661,-1.1844086383753283,-0.8708280900180044,5.1926750266,0.0,0.0,dark,0.0
0.3275675,-1.0717605176012517,-0.7860721916117986,5.1514864215,0.0,0.0,dark,0.0
0.3360739,-1.2486827317763103,-0.9792611252998433,5.1533244613,0.0,0.0,dark,0.0
